db_id,column_names,column_names_original,table_names,table_names_original,db_id_id,column_names_id,column_names_original_id,table_names_id,table_names_original_id
,homepage,homepage,domain,domain,,beranda,beranda,domain,domain
,name,name,domain author,domain_author,,nama,nama,penulis domain,domain_penulis
,oid,oid,domain conference,domain_conference,,id_o,id_o,konferensi domain,domain_konferensi
,cid,cid,journal,journal,,id_c,id_c,jurnal,jurnal
,homepage,homepage,domain journal,domain_journal,,beranda,beranda,jurnal domain,domain_jurnal
,name,name,keyword,keyword,,nama,nama,kata kunci,kata kunci
,did,did,domain keyword,domain_keyword,,telah_melakukan,telah_melakukan,kata kunci domain,domain_kata kunci
,name,name,publication,publication,,nama,nama,publikasi,publikasi
,aid,aid,domain publication,domain_publication,,bantuan,bantuan,publikasi domain,domain_publikasi
,did,did,organization,organization,,telah_melakukan,telah_melakukan,organisasi,organisasi
,cid,cid,publication keyword,publication_keyword,,id_c,id_c,kata kunci publikasi,publikasi_kata kunci
,did,did,writes,writes,,telah_melakukan,telah_melakukan,menulis,menulis
,homepage,homepage,cite,cite,,beranda,beranda,mengutip,mengutip
,jid,jid,,,,id_j,id_j,,
,name,name,,,,nama,nama,,
,did,did,,,,telah_melakukan,telah_melakukan,,
,jid,jid,,,,id_j,id_j,,
,keyword,keyword,,,,kata_kunci,kata_kunci,,
,kid,kid,,,,anak,anak,,
,did,did,,,,telah_melakukan,telah_melakukan,,
,kid,kid,,,,anak,anak,,
,abstract,abstract,,,,abstrak,abstrak,,
,cid,cid,,,,id_c,id_c,,
,citation num,citation_num,,,,nomor_kutipan,kutipan_num,,
,jid,jid,,,,id_j,id_j,,
,pid,pid,,,,id_p,id_p,,
,reference num,reference_num,,,,nomor_referensi,referensi_num,,
,title,title,,,,judul,judul,,
,year,year,,,,tahun,tahun,,
,did,did,,,,telah_melakukan,telah_melakukan,,
,pid,pid,,,,id_p,id_p,,
,continent,continent,,,,benua,benua,,
,homepage,homepage,,,,beranda,beranda,,
,name,name,,,,nama,nama,,
,oid,oid,,,,id_o,id_o,,
,pid,pid,,,,id_p,id_p,,
,kid,kid,,,,anak,anak,,
,aid,aid,,,,bantuan,bantuan,,
,pid,pid,,,,id_p,id_p,,
,cited,cited,,,,dikutip,dikutip,,
,citing,citing,,,,mengutip,mengutip,,
department_store,*,*,addresses,Addresses,toko_serba_ada,*,*,alamat,Alamat
,address id,address_id,staff,Staff,,id_alamat,id_alamat,staf,Staf
,address details,address_details,suppliers,Suppliers,,rincian_alamat,alamat_detail,pemasok,Pemasok
,staff id,staff_id,department store chain,Department_Store_Chain,,nomor_staf,id_staf,jaringan toko serba ada,Department_Store_Chain
,staff gender,staff_gender,customers,Customers,,jenis_kelamin_staf,staf_gender,pelanggan,Pelanggan
,staff name,staff_name,products,Products,,nama_staf,nama_staf,produk,Produk
,supplier id,supplier_id,supplier addresses,Supplier_Addresses,,id_pemasok,id_pemasok,alamat pemasok,Pemasok_Alamat
,supplier name,supplier_name,customer addresses,Customer_Addresses,,nama_pemasok,nama_pemasok,alamat pelanggan,Alamat_Pelanggan
,supplier phone,supplier_phone,customer orders,Customer_Orders,,telepon_pemasok,pemasok_telepon,pesanan pelanggan,Pelanggan_Pesanan
,department store chain id,dept_store_chain_id,department stores,Department_Stores,,id_jaringan_department_store,id_dept_store_chain,toko serba ada,Departemen_Toko
,department store chain name,dept_store_chain_name,departments,Departments,,nama_jaringan_department_store,dept_store_chain_name,departemen,Departemen
,customer id,customer_id,order items,Order_Items,,nomor_pelanggan,id_pelanggan,item pesanan,Pesanan_Item
,payment method code,payment_method_code,product suppliers,Product_Suppliers,,kode_metode_pembayaran,kode_metode_pembayaran,pemasok produk,Produk_Pemasok
,customer code,customer_code,staff department assignments,Staff_Department_Assignments,,kode_pelanggan,kode_pelanggan,penugasan departemen staf,Staf_Departemen_Penugasan
,customer name,customer_name,,,,nama_pelanggan,nama_pelanggan,,
,customer address,customer_address,,,,alamat_pelanggan,alamat_pelanggan,,
,customer phone,customer_phone,,,,telepon_pelanggan,pelanggan_telepon,,
,customer email,customer_email,,,,email_pelanggan,pelanggan_email,,
,product id,product_id,,,,id_produk,id_produk,,
,product type code,product_type_code,,,,kode_jenis_produk,kode_jenis_produk,,
,product name,product_name,,,,nama_produk,nama_produk,,
,product price,product_price,,,,harga_produk,harga_produk,,
,supplier id,supplier_id,,,,id_pemasok,id_pemasok,,
,address id,address_id,,,,id_alamat,id_alamat,,
,date from,date_from,,,,tanggal_dari,tanggal_dari,,
,date to,date_to,,,,tanggal_ke,tanggal_ke,,
,customer id,customer_id,,,,nomor_pelanggan,id_pelanggan,,
,address id,address_id,,,,id_alamat,id_alamat,,
,date from,date_from,,,,tanggal_dari,tanggal_dari,,
,date to,date_to,,,,tanggal_ke,tanggal_ke,,
,order id,order_id,,,,nomor_pesanan,id_pesanan,,
,customer id,customer_id,,,,nomor_pelanggan,id_pelanggan,,
,order status code,order_status_code,,,,kode_status_pesanan,kode_status_pesanan,,
,order date,order_date,,,,tanggal_pemesanan,tanggal_pemesanan,,
,department store id,dept_store_id,,,,id_toko_serba_ada,id_dept_store,,
,department store chain id,dept_store_chain_id,,,,id_jaringan_department_store,id_dept_store_chain,,
,store name,store_name,,,,nama_toko,nama_toko,,
,store address,store_address,,,,alamat_toko,alamat_toko,,
,store phone,store_phone,,,,toko_telepon,toko_telepon,,
,store email,store_email,,,,menyimpan_email,toko_email,,
,department id,department_id,,,,nomor_departemen,id_departemen,,
,department store id,dept_store_id,,,,id_toko_serba_ada,id_dept_store,,
,department name,department_name,,,,nama_departemen,nama_departemen,,
,order item id,order_item_id,,,,id_barang_pesanan,id_pesanan_barang,,
,order id,order_id,,,,nomor_pesanan,id_pesanan,,
,product id,product_id,,,,id_produk,id_produk,,
,product id,product_id,,,,id_produk,id_produk,,
,supplier id,supplier_id,,,,id_pemasok,id_pemasok,,
,date supplied from,date_supplied_from,,,,tanggal_diberikan_dari,tanggal_disediakan_dari,,
,date supplied to,date_supplied_to,,,,tanggal_diberikan_ke,tanggal_disediakan_ke,,
,total amount purchased,total_amount_purchased,,,,jumlah_total_yang_dibeli,total_jumlah_dibeli,,
,total value purchased,total_value_purchased,,,,nilai_total_yang_dibeli,total_nilai_dibeli,,
,staff id,staff_id,,,,nomor_staf,id_staf,,
,department id,department_id,,,,nomor_departemen,id_departemen,,
,date assigned from,date_assigned_from,,,,tanggal_ditetapkan_dari,tanggal_ditugaskan_dari,,
,job title code,job_title_code,,,,kode_jabatan,kode_judul_pekerjaan,,
,date assigned to,date_assigned_to,,,,tanggal_ditugaskan_ke,tanggal_ditugaskan_ke,,
music_4,*,*,artist,artist,musik_4,*,*,artis,artis
,artist id,Artist_ID,volume,volume,,id_artis,id_artis,volume,volume
,artist,Artist,music festival,music_festival,,artis,artis,festival musik,festival_musik
,age,Age,,,,usia,usia,,
,famous title,Famous_Title,,,,judul_terkenal,terkenal_judul,,
,famous release date,Famous_Release_date,,,,tanggal_rilis_terkenal,tanggal_rilis_terkenal,,
,volume id,Volume_ID,,,,id_nomor,id_volume,,
,volume issue,Volume_Issue,,,,masalah_volume,volume_masalah,,
,issue date,Issue_Date,,,,tanggal_penerbitan,tanggal_terbitan,,
,weeks on top,Weeks_on_Top,,,,minggu_di_atas,minggu_di_top,,
,song,Song,,,,lagu,lagu,,
,artist id,Artist_ID,,,,id_artis,id_artis,,
,id,ID,,,,pengenal,pengenal,,
,music festival,Music_Festival,,,,festival_musik,musik_festival,,
,date of ceremony,Date_of_ceremony,,,,tanggal_upacara,tanggal_upacara,,
,category,Category,,,,kategori,kategori,,
,volume,Volume,,,,volume,volume,,
,result,Result,,,,hasil,hasil,,
insurance_fnol,*,*,customers,Customers,asuransi_fnol,*,*,pelanggan,Pelanggan
,customer id,Customer_ID,services,Services,,nomor_pelanggan,id_pelanggan,layanan,Layanan
,customer name,Customer_name,available policies,Available_Policies,,nama_pelanggan,nama_pelanggan,kebijakan yang tersedia,Tersedia_Kebijakan
,service id,Service_ID,customers policies,Customers_Policies,,nomor_layanan,id_layanan,kebijakan pelanggan,Pelanggan_Kebijakan
,service name,Service_name,first notification of loss,First_Notification_of_Loss,,nama_layanan,nama_layanan,pemberitahuan pertama tentang kehilangan,First_Notification_of_Loss
,policy id,Policy_ID,claims,Claims,,id_kebijakan,id_kebijakan,klaim,Klaim
,policy type code,policy_type_code,settlements,Settlements,,kode_jenis_kebijakan,kode_tipe_kebijakan,pemukiman,Pemukiman
,customer phone,Customer_Phone,,,,telepon_pelanggan,pelanggan_telepon,,
,customer id,Customer_ID,,,,nomor_pelanggan,id_pelanggan,,
,policy id,Policy_ID,,,,id_kebijakan,id_kebijakan,,
,date opened,Date_Opened,,,,tanggal_dibuka,tanggal_dibuka,,
,date closed,Date_Closed,,,,tanggal_ditutup,tanggal_tutup,,
,fnol id,FNOL_ID,,,,id_fnol,id_fnol,,
,customer id,Customer_ID,,,,nomor_pelanggan,id_pelanggan,,
,policy id,Policy_ID,,,,id_kebijakan,id_kebijakan,,
,service id,Service_ID,,,,nomor_layanan,id_layanan,,
,claim id,Claim_ID,,,,id_klaim,id_klaim,,
,fnol id,FNOL_ID,,,,id_fnol,id_fnol,,
,effective date,Effective_Date,,,,tanggal_berlaku,tanggal_berlaku,,
,settlement id,Settlement_ID,,,,id_penyelesaian,id_penyelesaian,,
,claim id,Claim_ID,,,,id_klaim,id_klaim,,
,effective date,Effective_Date,,,,tanggal_berlaku,tanggal_berlaku,,
,settlement amount,Settlement_Amount,,,,jumlah_penyelesaian,penyelesaian_jumlah,,
cinema,*,*,film,film,bioskop,*,*,film,film
,film id,Film_ID,cinema,cinema,,id_film,id_film,bioskop,bioskop
,rank in series,Rank_in_series,schedule,schedule,,peringkat_secara_seri,peringkat_dalam_seri,jadwal,jadwal
,number in season,Number_in_season,,,,nomor_di_musim,nomor_dalam_musim,,
,title,Title,,,,judul,judul,,
,directed by,Directed_by,,,,diarahkan_oleh,disutradarai_oleh,,
,original air date,Original_air_date,,,,tanggal_tayang_asli,tanggal_udara_asli,,
,production code,Production_code,,,,kode_produksi,kode_produksi,,
,cinema id,Cinema_ID,,,,id_bioskop,id_bioskop,,
,name,Name,,,,nama,nama,,
,openning year,Openning_year,,,,tahun_pembukaan,pembukaan_tahun,,
,capacity,Capacity,,,,kapasitas,kapasitas,,
,location,Location,,,,lokasi,lokasi,,
,cinema id,Cinema_ID,,,,id_bioskop,id_bioskop,,
,film id,Film_ID,,,,id_film,id_film,,
,date,Date,,,,tanggal,tanggal,,
,show times per day,Show_times_per_day,,,,waktu_tayang_per_hari,waktu_tayang_per_hari,,
,price,Price,,,,harga,harga,,
decoration_competition,*,*,college,college,dekorasi_kompetisi,*,*,kampus,kampus
,college id,College_ID,member,member,,id_perguruan_tinggi,id_perguruan_tinggi,anggota,anggota
,name,Name,round,round,,nama,nama,bulat,bulat
,leader name,Leader_Name,,,,nama_pemimpin,pemimpin_nama,,
,college location,College_Location,,,,lokasi_kampus,perguruan_tinggi_lokasi,,
,member id,Member_ID,,,,id_anggota,id_anggota,,
,name,Name,,,,nama,nama,,
,country,Country,,,,negara,negara,,
,college id,College_ID,,,,id_perguruan_tinggi,id_perguruan_tinggi,,
,round id,Round_ID,,,,id_bulat,id_putaran,,
,member id,Member_ID,,,,id_anggota,id_anggota,,
,decoration theme,Decoration_Theme,,,,tema_dekorasi,dekorasi_tema,,
,rank in round,Rank_in_Round,,,,peringkat_dalam_putaran,peringkat_dalam_putaran,,
phone_market,*,*,phone,phone,telepon_pasar,*,*,telepon,telepon
,name,Name,market,market,,nama,nama,pasar,pasar
,phone id,Phone_ID,phone market,phone_market,,id_telepon,id_telepon,pasar telepon,telepon_pasar
,memory in g,Memory_in_G,,,,memori_di_g,memori_in_g,,
,carrier,Carrier,,,,pembawa,pembawa,,
,price,Price,,,,harga,harga,,
,market id,Market_ID,,,,id_pasar,id_pasar,,
,district,District,,,,daerah,daerah,,
,num of employees,Num_of_employees,,,,jumlah_karyawan,jumlah_karyawan,,
,num of shops,Num_of_shops,,,,sejumlah_toko,jumlah_toko,,
,ranking,Ranking,,,,peringkat,peringkat,,
,market id,Market_ID,,,,id_pasar,id_pasar,,
,phone id,Phone_ID,,,,id_telepon,id_telepon,,
,num of stock,Num_of_stock,,,,jumlah_stok,jumlah_stok,,
store_product,*,*,product,product,toko_produk,*,*,produk,produk
,product id,product_id,store,store,,id_produk,id_produk,toko,toko
,product,product,district,district,,produk,produk,daerah,daerah
,dimensions,dimensions,store product,store_product,,ukuran,ukuran,menyimpan produk,toko_produk
,dpi,dpi,store district,store_district,,dpi,dpi,distrik toko,toko_distrik
,pages per minute color,pages_per_minute_color,,,,warna_halaman_per_menit,halaman_per_menit_warna,,
,max page size,max_page_size,,,,ukuran_halaman_maksimal,max_page_size,,
,interface,interface,,,,antarmuka,antarmuka,,
,store id,Store_ID,,,,id_toko,id_toko,,
,store name,Store_Name,,,,nama_toko,nama_toko,,
,type,Type,,,,jenis,jenis,,
,area size,Area_size,,,,ukuran_wilayah,ukuran_area,,
,number of product category,Number_of_product_category,,,,jumlah_kategori_produk,jumlah_kategori_produk,,
,ranking,Ranking,,,,peringkat,peringkat,,
,district id,District_ID,,,,id_distrik,id_distrik,,
,district name,District_name,,,,nama_distrik,nama_distrik,,
,headquartered city,Headquartered_City,,,,kota_yang_bermarkas,berkantor_pusat_kota,,
,city population,City_Population,,,,populasi_kota,kota_populasi,,
,city area,City_Area,,,,wilayah_kota,kota_area,,
,store id,Store_ID,,,,id_toko,id_toko,,
,product id,Product_ID,,,,id_produk,id_produk,,
,store id,Store_ID,,,,id_toko,id_toko,,
,district id,District_ID,,,,id_distrik,id_distrik,,
assets_maintenance,*,*,third party companies,Third_Party_Companies,aset_pemeliharaan,*,*,perusahaan pihak ketiga,Perusahaan_Pihak_Ketiga
,company id,company_id,maintenance contracts,Maintenance_Contracts,,id_perusahaan,id_perusahaan,kontrak pemeliharaan,Pemeliharaan_Kontrak
,company type,company_type,parts,Parts,,tipe_perusahaan,tipe_perusahaan,bagian,Bagian
,company name,company_name,skills,Skills,,nama_perusahaan,nama_perusahaan,keterampilan,Keterampilan
,company address,company_address,staff,Staff,,alamat_perusahaan,alamat_perusahaan,staf,Staf
,other company details,other_company_details,assets,Assets,,rincian_perusahaan_lainnya,detail_perusahaan_lainnya,aktiva,Aktiva
,maintenance contract id,maintenance_contract_id,asset parts,Asset_Parts,,id_kontrak_pemeliharaan,id_pemeliharaan_kontrak,bagian aset,Aset_Bagian
,maintenance contract company id,maintenance_contract_company_id,maintenance engineers,Maintenance_Engineers,,id_perusahaan_kontrak_pemeliharaan,id_maintenance_contract_company,insinyur pemeliharaan,Pemeliharaan_Insinyur
,contract start date,contract_start_date,engineer skills,Engineer_Skills,,tanggal_mulai_kontrak,tanggal_mulai_kontrak,keterampilan insinyur,Insinyur_Keterampilan
,contract end date,contract_end_date,fault log,Fault_Log,,tanggal_akhir_kontrak,tanggal_akhir_kontrak,catatan kesalahan,Kesalahan_Log
,other contract details,other_contract_details,engineer visits,Engineer_Visits,,rincian_kontrak_lainnya,detail_kontrak_lainnya,kunjungan insinyur,Insinyur_Kunjungan
,part id,part_id,part faults,Part_Faults,,id_bagian,id_bagian,kesalahan bagian,Bagian_Kesalahan
,part name,part_name,fault log parts,Fault_Log_Parts,,nama_bagian,nama_bagian,bagian log kesalahan,Kesalahan_Log_Bagian
,chargeable yn,chargeable_yn,skills required to fix,Skills_Required_To_Fix,,dikenakan_biaya_yn,dikenakan_biaya_yn,keterampilan yang dibutuhkan untuk memperbaikinya,Keterampilan_Diperlukan_Untuk_Memperbaiki
,chargeable amount,chargeable_amount,,,,jumlah_yang_dapat_dikenakan_biaya,jumlah_yang_dapat_ditagih,,
,other part details,other_part_details,,,,rincian_bagian_lainnya,detail_bagian_lainnya,,
,skill id,skill_id,,,,id_keterampilan,id_keterampilan,,
,skill code,skill_code,,,,kode_keterampilan,kode_keterampilan,,
,skill description,skill_description,,,,deskripsi_keterampilan,deskripsi_keterampilan,,
,staff id,staff_id,,,,nomor_staf,id_staf,,
,staff name,staff_name,,,,nama_staf,nama_staf,,
,gender,gender,,,,jenis_kelamin,jenis_kelamin,,
,other staff details,other_staff_details,,,,rincian_staf_lainnya,detail_staf_lainnya,,
,asset id,asset_id,,,,id_aset,id_aset,,
,maintenance contract id,maintenance_contract_id,,,,id_kontrak_pemeliharaan,id_pemeliharaan_kontrak,,
,supplier company id,supplier_company_id,,,,id_perusahaan_pemasok,id_pemasok_perusahaan,,
,asset details,asset_details,,,,rincian_aset,aset_detail,,
,asset make,asset_make,,,,pembuatan_aset,pembuatan_aset,,
,asset model,asset_model,,,,model_aset,aset_model,,
,asset acquired date,asset_acquired_date,,,,tanggal_perolehan_aset,tanggal_diperoleh_aset,,
,asset disposed date,asset_disposed_date,,,,tanggal_pelepasan_aset,tanggal_aset_disposisi,,
,other asset details,other_asset_details,,,,rincian_aset_lainnya,detail_aset_lainnya,,
,asset id,asset_id,,,,id_aset,id_aset,,
,part id,part_id,,,,id_bagian,id_bagian,,
,engineer id,engineer_id,,,,id_insinyur,id_insinyur,,
,company id,company_id,,,,id_perusahaan,id_perusahaan,,
,first name,first_name,,,,nama_depan,nama_depan,,
,last name,last_name,,,,nama_belakang,nama_belakang,,
,other details,other_details,,,,rincian_lainnya,detail_lainnya,,
,engineer id,engineer_id,,,,id_insinyur,id_insinyur,,
,skill id,skill_id,,,,id_keterampilan,id_keterampilan,,
,fault log entry id,fault_log_entry_id,,,,id_entri_log_kesalahan,id_kesalahan_log_entry,,
,asset id,asset_id,,,,id_aset,id_aset,,
,recorded by staff id,recorded_by_staff_id,,,,id_dicatat_oleh_staf,id_direkam_oleh_staff,,
,fault log entry datetime,fault_log_entry_datetime,,,,tanggal_entri_log_kesalahan,kesalahan_log_entry_datetime,,
,fault description,fault_description,,,,deskripsi_kesalahan,kesalahan_deskripsi,,
,other fault details,other_fault_details,,,,rincian_kesalahan_lainnya,detail_kesalahan_lainnya,,
,engineer visit id,engineer_visit_id,,,,id_kunjungan_insinyur,id_insinyur_visit,,
,contact staff id,contact_staff_id,,,,hubungi_nomor_staf,id_contact_staff,,
,engineer id,engineer_id,,,,id_insinyur,id_insinyur,,
,fault log entry id,fault_log_entry_id,,,,id_entri_log_kesalahan,id_kesalahan_log_entry,,
,fault status,fault_status,,,,status_kesalahan,kesalahan_status,,
,visit start datetime,visit_start_datetime,,,,kunjungi_tanggal_mulai,kunjungi_tanggal_mulai,,
,visit end datetime,visit_end_datetime,,,,kunjungi_tanggal_waktu_akhir,waktu_kunjungan_akhir,,
,other visit details,other_visit_details,,,,rincian_kunjungan_lainnya,detail_kunjungan_lainnya,,
,part fault id,part_fault_id,,,,id_kesalahan_bagian,id_part_fault,,
,part id,part_id,,,,id_bagian,id_bagian,,
,fault short name,fault_short_name,,,,kesalahan_nama_pendek,kesalahan_nama_pendek,,
,fault description,fault_description,,,,deskripsi_kesalahan,kesalahan_deskripsi,,
