db_id,query_toks,question,db_id_id,query_toks_id,question_id
department_management,SELECT,What are the names of the states where at least 3 heads were born?,departemen_manajemen,SELECT,Apa nama negara bagian yang melahirkan minimal 3 kepala?
,born_state,,,lahir_negara_bagian,
,FROM,,,FROM,
,head,,,kepala,
,GROUP,,,GROUP,
,BY,,,BY,
,born_state,,,lahir_negara_bagian,
,HAVING,,,HAVING,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,=,,,=,
,3,,,3,
department_management,SELECT,In which year were most departments established?,departemen_manajemen,SELECT,Pada tahun berapa sebagian besar departemen didirikan?
,creation,,,penciptaan,
,FROM,,,FROM,
,department,,,departemen,
,GROUP,,,GROUP,
,BY,,,BY,
,creation,,,penciptaan,
,ORDER,,,ORDER,
,BY,,,BY,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
department_management,SELECT,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,departemen_manajemen,SELECT,Tunjukkan nama dan jumlah karyawan untuk departemen yang dikelola oleh kepala yang nilai akting sementaranya adalah 'Ya'?
,T1.name,,,T1.nama,
,",",,,",",
,T1.num_employees,,,T1.num_karyawan,
,FROM,,,FROM,
,department,,,departemen,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,management,,,pengelolaan,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.department_id,,,T1.id_departemen,
,=,,,=,
,T2.department_id,,,T2.id_department,
,WHERE,,,WHERE,
,T2.temporary_acting,,,T2.akting_sementara,
,=,,,=,
,Yes,,,Yes,
,,,,,
department_management,SELECT,How many acting statuses are there?,departemen_manajemen,SELECT,Ada berapa status akting?
,count,,,count,
,(,,,(,
,DISTINCT,,,DISTINCT,
,temporary_acting,,,akting_sementara,
,),,,),
,FROM,,,FROM,
,management,,,pengelolaan,
department_management,SELECT,How many departments are led by heads who are not mentioned?,departemen_manajemen,SELECT,Berapa banyak departemen yang dipimpin oleh kepala yang tidak disebutkan?
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,department,,,departemen,
,WHERE,,,WHERE,
,department_id,,,id_department,
,NOT,,,NOT,
,IN,,,IN,
,(,,,(,
,SELECT,,,SELECT,
,department_id,,,id_department,
,FROM,,,FROM,
,management,,,pengelolaan,
,),,,),
,;,,,;,
department_management,SELECT,What are the distinct ages of the heads who are acting?,departemen_manajemen,SELECT,Berapa usia berbeda dari para kepala yang bertindak?
,DISTINCT,,,DISTINCT,
,T1.age,,,T1.usia,
,FROM,,,FROM,
,management,,,pengelolaan,
,AS,,,AS,
,T2,,,T2,
,JOIN,,,JOIN,
,head,,,kepala,
,AS,,,AS,
,T1,,,T1,
,ON,,,ON,
,T1.head_id,,,T1.id_head,
,=,,,=,
,T2.head_id,,,T2.id_head,
,WHERE,,,WHERE,
,T2.temporary_acting,,,T2.akting_sementara,
,=,,,=,
,Yes,,,Yes,
,,,,,
department_management,SELECT,List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,departemen_manajemen,SELECT,Sebutkan negara bagian tempat lahirnya sekretaris departemen 'Perbendaharaan' dan sekretaris 'Keamanan Dalam Negeri'.
,T3.born_state,,,T3.negara_lahir,
,FROM,,,FROM,
,department,,,departemen,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,management,,,pengelolaan,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.department_id,,,T1.id_departemen,
,=,,,=,
,T2.department_id,,,T2.id_department,
,JOIN,,,JOIN,
,head,,,kepala,
,AS,,,AS,
,T3,,,T3,
,ON,,,ON,
,T2.head_id,,,T2.id_head,
,=,,,=,
,T3.head_id,,,T3.id_head,
,WHERE,,,WHERE,
,T1.name,,,T1.nama,
,=,,,=,
,Treasury,,,Kas,
,,,,,
,INTERSECT,,,INTERSECT,
,SELECT,,,SELECT,
,T3.born_state,,,T3.negara_lahir,
,FROM,,,FROM,
,department,,,departemen,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,management,,,pengelolaan,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.department_id,,,T1.id_departemen,
,=,,,=,
,T2.department_id,,,T2.id_department,
,JOIN,,,JOIN,
,head,,,kepala,
,AS,,,AS,
,T3,,,T3,
,ON,,,ON,
,T2.head_id,,,T2.id_head,
,=,,,=,
,T3.head_id,,,T3.id_head,
,WHERE,,,WHERE,
,T1.name,,,T1.nama,
,=,,,=,
,Homeland,,,Tanah_air,
,Security,,,Security,
,,,,,
department_management,SELECT,"Which department has more than 1 head at a time? List the id, name and the number of heads.",departemen_manajemen,SELECT,"Departemen mana yang memiliki lebih dari 1 kepala sekaligus? Cantumkan id, nama dan nomor kepala."
,T1.department_id,,,T1.id_departemen,
,",",,,",",
,T1.name,,,T1.nama,
,",",,,",",
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,management,,,pengelolaan,
,AS,,,AS,
,T2,,,T2,
,JOIN,,,JOIN,
,department,,,departemen,
,AS,,,AS,
,T1,,,T1,
,ON,,,ON,
,T1.department_id,,,T1.id_departemen,
,=,,,=,
,T2.department_id,,,T2.id_department,
,GROUP,,,GROUP,
,BY,,,BY,
,T1.department_id,,,T1.id_departemen,
,HAVING,,,HAVING,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,1,,,1,
department_management,SELECT,Which head's name has the substring 'Ha'? List the id and name.,departemen_manajemen,SELECT,Nama kepala manakah yang memiliki substring 'Ha'? Cantumkan id dan nama.
,head_id,,,id_head,
,",",,,",",
,name,,,nama,
,FROM,,,FROM,
,head,,,kepala,
,WHERE,,,WHERE,
,name,,,nama,
,LIKE,,,LIKE,
,,,,,
,%,,,%,
,Ha,,,Ha,
,%,,,%,
,,,,,
farm,SELECT,How many farms are there?,peternakan,SELECT,Ada berapa peternakan di sana?
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,farm,,,peternakan,
farm,SELECT,Count the number of farms.,peternakan,SELECT,Hitung jumlah peternakan.
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,farm,,,peternakan,
farm,SELECT,List the total number of horses on farms in ascending order.,peternakan,SELECT,Tuliskan jumlah total kuda di peternakan dalam urutan menaik.
,Total_Horses,,,Total_Kuda,
,FROM,,,FROM,
,farm,,,peternakan,
,ORDER,,,ORDER,
,BY,,,BY,
,Total_Horses,,,Total_Kuda,
,ASC,,,ASC,
farm,SELECT,"What is the total horses record for each farm, sorted ascending?",peternakan,SELECT,"Berapa total rekor kuda untuk setiap peternakan, diurutkan dari atas ke bawah?"
,Total_Horses,,,Total_Kuda,
,FROM,,,FROM,
,farm,,,peternakan,
,ORDER,,,ORDER,
,BY,,,BY,
,Total_Horses,,,Total_Kuda,
,ASC,,,ASC,
farm,SELECT,"What are the hosts of competitions whose theme is not ""Aliens""?",peternakan,SELECT,"Apa sajakah penyelenggara kompetisi yang temanya bukan ""Alien""?"
,Hosts,,,Tuan_rumah,
,FROM,,,FROM,
,farm_competition,,,kompetisi_pertanian,
,WHERE,,,WHERE,
,Theme,,,Tema,
,!,,,!,
,=,,,=,
,Aliens,,,alien,
,,,,,
farm,SELECT,Return the hosts of competitions for which the theme is not Aliens?,peternakan,SELECT,Kembalikan penyelenggara kompetisi yang temanya bukan Alien?
,Hosts,,,Tuan_rumah,
,FROM,,,FROM,
,farm_competition,,,kompetisi_pertanian,
,WHERE,,,WHERE,
,Theme,,,Tema,
,!,,,!,
,=,,,=,
,Aliens,,,alien,
,,,,,
farm,SELECT,What are the themes of farm competitions sorted by year in ascending order?,peternakan,SELECT,Apa tema kompetisi pertanian yang diurutkan berdasarkan tahun secara menaik?
,Theme,,,Tema,
,FROM,,,FROM,
,farm_competition,,,kompetisi_pertanian,
,ORDER,,,ORDER,
,BY,,,BY,
,YEAR,,,YEAR,
,ASC,,,ASC,
farm,SELECT,"Return the themes of farm competitions, sorted by year ascending.",peternakan,SELECT,"Kembalikan tema kompetisi pertanian, diurutkan berdasarkan tahun naik."
,Theme,,,Tema,
,FROM,,,FROM,
,farm_competition,,,kompetisi_pertanian,
,ORDER,,,ORDER,
,BY,,,BY,
,YEAR,,,YEAR,
,ASC,,,ASC,
farm,SELECT,What is the average number of working horses of farms with more than 5000 total number of horses?,peternakan,SELECT,Berapa rata-rata jumlah kuda yang bekerja di peternakan yang jumlah total kudanya lebih dari 5000 ekor?
,avg,,,avg,
,(,,,(,
,Working_Horses,,,Bekerja_Kuda,
,),,,),
,FROM,,,FROM,
,farm,,,peternakan,
,WHERE,,,WHERE,
,Total_Horses,,,Total_Kuda,
,>,,,>,
,5000,,,5000,
farm,SELECT,Give the average number of working horses on farms with more than 5000 total horses.,peternakan,SELECT,Berikan jumlah rata-rata kuda yang bekerja di peternakan dengan total lebih dari 5000 kuda.
,avg,,,avg,
,(,,,(,
,Working_Horses,,,Bekerja_Kuda,
,),,,),
,FROM,,,FROM,
,farm,,,peternakan,
,WHERE,,,WHERE,
,Total_Horses,,,Total_Kuda,
,>,,,>,
,5000,,,5000,
farm,SELECT,What are the maximum and minimum number of cows across all farms.,peternakan,SELECT,Berapa jumlah maksimum dan minimum sapi di seluruh peternakan.
,max,,,max,
,(,,,(,
,Cows,,,Sapi,
,),,,),
,",",,,",",
,min,,,min,
,(,,,(,
,Cows,,,Sapi,
,),,,),
,FROM,,,FROM,
,farm,,,peternakan,
farm,SELECT,Return the maximum and minimum number of cows across all farms.,peternakan,SELECT,Kembalikan jumlah sapi maksimum dan minimum di semua peternakan.
,max,,,max,
,(,,,(,
,Cows,,,Sapi,
,),,,),
,",",,,",",
,min,,,min,
,(,,,(,
,Cows,,,Sapi,
,),,,),
,FROM,,,FROM,
,farm,,,peternakan,
farm,SELECT,How many different statuses do cities have?,peternakan,SELECT,Berapa banyak status berbeda yang dimiliki kota?
,count,,,count,
,(,,,(,
,DISTINCT,,,DISTINCT,
,Status,,,Status,
,),,,),
,FROM,,,FROM,
,city,,,kota,
farm,SELECT,Count the number of different statuses.,peternakan,SELECT,Hitung jumlah status yang berbeda.
,count,,,count,
,(,,,(,
,DISTINCT,,,DISTINCT,
,Status,,,Status,
,),,,),
,FROM,,,FROM,
,city,,,kota,
farm,SELECT,List official names of cities in descending order of population.,peternakan,SELECT,Buat daftar nama resmi kota dalam urutan jumlah penduduk.
,Official_Name,,,Nama_Resmi,
,FROM,,,FROM,
,city,,,kota,
,ORDER,,,ORDER,
,BY,,,BY,
,Population,,,Populasi,
,DESC,,,DESC,
farm,SELECT,"What are the official names of cities, ordered descending by population?",peternakan,SELECT,"Apa nama resmi kota, diurutkan berdasarkan jumlah penduduk?"
,Official_Name,,,Nama_Resmi,
,FROM,,,FROM,
,city,,,kota,
,ORDER,,,ORDER,
,BY,,,BY,
,Population,,,Populasi,
,DESC,,,DESC,
farm,SELECT,List the official name and status of the city with the largest population.,peternakan,SELECT,Sebutkan nama resmi dan status kota dengan jumlah penduduk terbesar.
,Official_Name,,,Nama_Resmi,
,",",,,",",
,Status,,,Status,
,FROM,,,FROM,
,city,,,kota,
,ORDER,,,ORDER,
,BY,,,BY,
,Population,,,Populasi,
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
farm,SELECT,What is the official name and status of the city with the most residents?,peternakan,SELECT,Apa nama resmi dan status kota dengan penduduk terbanyak?
,Official_Name,,,Nama_Resmi,
,",",,,",",
,Status,,,Status,
,FROM,,,FROM,
,city,,,kota,
,ORDER,,,ORDER,
,BY,,,BY,
,Population,,,Populasi,
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
farm,SELECT,Show the years and the official names of the host cities of competitions.,peternakan,SELECT,Tunjukkan tahun dan nama resmi kota tuan rumah kompetisi.
,T2.Year,,,T2.Tahun,
,",",,,",",
,T1.Official_Name,,,T1.Nama_Resmi,
,FROM,,,FROM,
,city,,,kota,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,farm_competition,,,kompetisi_pertanian,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.City_ID,,,T1.ID_Kota,
,=,,,=,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
farm,SELECT,Give the years and official names of the cities of each competition.,peternakan,SELECT,Sebutkan tahun dan nama resmi kota masing-masing kompetisi.
,T2.Year,,,T2.Tahun,
,",",,,",",
,T1.Official_Name,,,T1.Nama_Resmi,
,FROM,,,FROM,
,city,,,kota,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,farm_competition,,,kompetisi_pertanian,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.City_ID,,,T1.ID_Kota,
,=,,,=,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
farm,SELECT,Show the official names of the cities that have hosted more than one competition.,peternakan,SELECT,Tunjukkan nama resmi kota yang pernah menyelenggarakan lebih dari satu kompetisi.
,T1.Official_Name,,,T1.Nama_Resmi,
,FROM,,,FROM,
,city,,,kota,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,farm_competition,,,kompetisi_pertanian,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.City_ID,,,T1.ID_Kota,
,=,,,=,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
,GROUP,,,GROUP,
,BY,,,BY,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
,HAVING,,,HAVING,
,COUNT,,,COUNT,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,1,,,1,
farm,SELECT,What are the official names of cities that have hosted more than one competition?,peternakan,SELECT,Apa nama resmi kota yang pernah menyelenggarakan lebih dari satu kompetisi?
,T1.Official_Name,,,T1.Nama_Resmi,
,FROM,,,FROM,
,city,,,kota,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,farm_competition,,,kompetisi_pertanian,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.City_ID,,,T1.ID_Kota,
,=,,,=,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
,GROUP,,,GROUP,
,BY,,,BY,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
,HAVING,,,HAVING,
,COUNT,,,COUNT,
,(,,,(,
,*,,,*,
,),,,),
,>,,,>,
,1,,,1,
farm,SELECT,Show the status of the city that has hosted the greatest number of competitions.,peternakan,SELECT,Tunjukkan status kota yang menjadi tuan rumah kompetisi terbanyak.
,T1.Status,,,T1.Status,
,FROM,,,FROM,
,city,,,kota,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,farm_competition,,,kompetisi_pertanian,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.City_ID,,,T1.ID_Kota,
,=,,,=,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
,GROUP,,,GROUP,
,BY,,,BY,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
,ORDER,,,ORDER,
,BY,,,BY,
,COUNT,,,COUNT,
,(,,,(,
,*,,,*,
,),,,),
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
farm,SELECT,What is the status of the city that has hosted the most competitions?,peternakan,SELECT,Apa status kota yang paling banyak menyelenggarakan kompetisi?
,T1.Status,,,T1.Status,
,FROM,,,FROM,
,city,,,kota,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,farm_competition,,,kompetisi_pertanian,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.City_ID,,,T1.ID_Kota,
,=,,,=,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
,GROUP,,,GROUP,
,BY,,,BY,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
,ORDER,,,ORDER,
,BY,,,BY,
,COUNT,,,COUNT,
,(,,,(,
,*,,,*,
,),,,),
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
farm,SELECT,Please show the themes of competitions with host cities having populations larger than 1000.,peternakan,SELECT,Harap tunjukkan tema kompetisi dengan kota tuan rumah yang memiliki populasi lebih dari 1000 orang.
,T2.Theme,,,T2.Tema,
,FROM,,,FROM,
,city,,,kota,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,farm_competition,,,kompetisi_pertanian,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.City_ID,,,T1.ID_Kota,
,=,,,=,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
,WHERE,,,WHERE,
,T1.Population,,,T1.Populasi,
,>,,,>,
,1000,,,1000,
farm,SELECT,What are the themes of competitions that have corresponding host cities with more than 1000 residents?,peternakan,SELECT,Apa tema kompetisi yang memiliki kota tuan rumah yang berpenduduk lebih dari 1000 orang?
,T2.Theme,,,T2.Tema,
,FROM,,,FROM,
,city,,,kota,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,farm_competition,,,kompetisi_pertanian,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.City_ID,,,T1.ID_Kota,
,=,,,=,
,T2.Host_city_ID,,,T2.ID_Kota_tuan_rumah,
,WHERE,,,WHERE,
,T1.Population,,,T1.Populasi,
,>,,,>,
,1000,,,1000,
farm,SELECT,Please show the different statuses of cities and the average population of cities with each status.,peternakan,SELECT,Harap tunjukkan berbagai status kota dan rata-rata populasi kota dengan masing-masing status.
,Status,,,Status,
,",",,,",",
,avg,,,avg,
,(,,,(,
,Population,,,Populasi,
,),,,),
,FROM,,,FROM,
,city,,,kota,
,GROUP,,,GROUP,
,BY,,,BY,
,Status,,,Status,
farm,SELECT,What are the statuses and average populations of each city?,peternakan,SELECT,Apa status dan rata-rata populasi tiap kota?
,Status,,,Status,
,",",,,",",
,avg,,,avg,
,(,,,(,
,Population,,,Populasi,
,),,,),
,FROM,,,FROM,
,city,,,kota,
,GROUP,,,GROUP,
,BY,,,BY,
,Status,,,Status,
farm,SELECT,"Please show the different statuses, ordered by the number of cities that have each.",peternakan,SELECT,"Harap tunjukkan status yang berbeda, diurutkan berdasarkan jumlah kota yang dimiliki masing-masing kota."
,Status,,,Status,
,FROM,,,FROM,
,city,,,kota,
,GROUP,,,GROUP,
,BY,,,BY,
,Status,,,Status,
,ORDER,,,ORDER,
,BY,,,BY,
,COUNT,,,COUNT,
,(,,,(,
,*,,,*,
,),,,),
,ASC,,,ASC,
farm,SELECT,"Return the different statuses of cities, ascending by frequency.",peternakan,SELECT,"Menampilkan berbagai status kota, naik berdasarkan frekuensi."
,Status,,,Status,
,FROM,,,FROM,
,city,,,kota,
,GROUP,,,GROUP,
,BY,,,BY,
,Status,,,Status,
,ORDER,,,ORDER,
,BY,,,BY,
,COUNT,,,COUNT,
,(,,,(,
,*,,,*,
,),,,),
,ASC,,,ASC,
farm,SELECT,List the most common type of Status across cities.,peternakan,SELECT,Buat daftar jenis Status yang paling umum di berbagai kota.
,Status,,,Status,
,FROM,,,FROM,
,city,,,kota,
,GROUP,,,GROUP,
,BY,,,BY,
,Status,,,Status,
,ORDER,,,ORDER,
,BY,,,BY,
,COUNT,,,COUNT,
,(,,,(,
,*,,,*,
,),,,),
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
farm,SELECT,What is the most common status across all cities?,peternakan,SELECT,Status apa yang paling umum di semua kota?
,Status,,,Status,
,FROM,,,FROM,
,city,,,kota,
,GROUP,,,GROUP,
,BY,,,BY,
,Status,,,Status,
,ORDER,,,ORDER,
,BY,,,BY,
,COUNT,,,COUNT,
,(,,,(,
,*,,,*,
,),,,),
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
farm,SELECT,List the official names of cities that have not held any competition.,peternakan,SELECT,Sebutkan nama resmi kota yang belum menyelenggarakan kompetisi apa pun.
,Official_Name,,,Nama_Resmi,
,FROM,,,FROM,
,city,,,kota,
,WHERE,,,WHERE,
,City_ID,,,ID_Kota,
,NOT,,,NOT,
,IN,,,IN,
,(,,,(,
,SELECT,,,SELECT,
,Host_city_ID,,,ID_Host_kota,
,FROM,,,FROM,
,farm_competition,,,kompetisi_pertanian,
,),,,),
farm,SELECT,What are the official names of cities that have not hosted a farm competition?,peternakan,SELECT,Apa nama resmi kota yang belum menyelenggarakan kompetisi pertanian?
,Official_Name,,,Nama_Resmi,
,FROM,,,FROM,
,city,,,kota,
,WHERE,,,WHERE,
,City_ID,,,ID_Kota,
,NOT,,,NOT,
,IN,,,IN,
,(,,,(,
,SELECT,,,SELECT,
,Host_city_ID,,,ID_Host_kota,
,FROM,,,FROM,
,farm_competition,,,kompetisi_pertanian,
,),,,),
farm,SELECT,Show the status shared by cities with population bigger than 1500 and smaller than 500.,peternakan,SELECT,Tunjukkan status yang dimiliki oleh kota-kota dengan populasi lebih dari 1500 dan lebih kecil dari 500.
,Status,,,Status,
,FROM,,,FROM,
,city,,,kota,
,WHERE,,,WHERE,
,Population,,,Populasi,
,>,,,>,
,1500,,,1500,
,INTERSECT,,,INTERSECT,
,SELECT,,,SELECT,
,Status,,,Status,
,FROM,,,FROM,
,city,,,kota,
,WHERE,,,WHERE,
,Population,,,Populasi,
,<,,,<,
,500,,,500,
farm,SELECT,Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,peternakan,SELECT,Status manakah yang sesuai dengan kota yang berpenduduk lebih dari 1500 jiwa dan kota yang berpenduduk kurang dari 500 jiwa?
,Status,,,Status,
,FROM,,,FROM,
,city,,,kota,
,WHERE,,,WHERE,
,Population,,,Populasi,
,>,,,>,
,1500,,,1500,
,INTERSECT,,,INTERSECT,
,SELECT,,,SELECT,
,Status,,,Status,
,FROM,,,FROM,
,city,,,kota,
,WHERE,,,WHERE,
,Population,,,Populasi,
,<,,,<,
,500,,,500,
farm,SELECT,Find the official names of cities with population bigger than 1500 or smaller than 500.,peternakan,SELECT,Temukan nama resmi kota dengan populasi lebih dari 1500 atau lebih kecil dari 500.
,Official_Name,,,Nama_Resmi,
,FROM,,,FROM,
,city,,,kota,
,WHERE,,,WHERE,
,Population,,,Populasi,
,>,,,>,
,1500,,,1500,
,OR,,,OR,
,Population,,,Populasi,
,<,,,<,
,500,,,500,
farm,SELECT,What are the official names of cities that have population over 1500 or less than 500?,peternakan,SELECT,Apa nama resmi kota yang berpenduduk lebih dari 1500 atau kurang dari 500 jiwa?
,Official_Name,,,Nama_Resmi,
,FROM,,,FROM,
,city,,,kota,
,WHERE,,,WHERE,
,Population,,,Populasi,
,>,,,>,
,1500,,,1500,
,OR,,,OR,
,Population,,,Populasi,
,<,,,<,
,500,,,500,
farm,SELECT,"Show the census ranking of cities whose status are not ""Village"".",peternakan,SELECT,Menampilkan peringkat sensus kota yang statusnya bukan “Desa”.
,Census_Ranking,,,Peringkat_Sensus,
,FROM,,,FROM,
,city,,,kota,
,WHERE,,,WHERE,
,Status,,,Status,
,!,,,!,
,=,,,=,
,``,,,``,
,Village,,,Desa,
,',,,',
farm,SELECT,"What are the census rankings of cities that do not have the status ""Village""?",peternakan,SELECT,Bagaimana peringkat sensus kota yang tidak berstatus “Desa”?
,Census_Ranking,,,Peringkat_Sensus,
,FROM,,,FROM,
,city,,,kota,
,WHERE,,,WHERE,
,Status,,,Status,
,!,,,!,
,=,,,=,
,``,,,``,
,Village,,,Desa,
,',,,',
student_assessment,SELECT,which course has most number of registered students?,penilaian_siswa,SELECT,mata kuliah mana yang memiliki jumlah siswa terdaftar terbanyak?
,T1.course_name,,,T1.nama_kursus,
,FROM,,,FROM,
,courses,,,kursus,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,student_course_registrations,,,registrasi_kursus_siswa,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.course_id,,,T1.id_course,
,=,,,=,
,T2.course_Id,,,T2.kursus_Id,
,GROUP,,,GROUP,
,BY,,,BY,
,T1.course_id,,,T1.id_course,
,ORDER,,,ORDER,
,BY,,,BY,
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,DESC,,,DESC,
,LIMIT,,,LIMIT,
,1,,,1,
student_assessment,SELECT,What is the name of the course with the most registered students?,penilaian_siswa,SELECT,Apa nama mata kuliah yang jumlah siswanya paling banyak terdaftar?
,T1.course_name,,,T1.nama_kursus,
,FROM,,,FROM,
,courses,,,kursus,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,student_course_registrations,,,registrasi_kursus_siswa,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
